Серия,Поколение,Год,Рестайлинг,Пробег,Коробка,Объем,Цена,Кузов_внедорожник 5 дв.,Кузов_кабриолет,Кузов_купе,Кузов_лифтбек,Кузов_минивэн,Кузов_седан,Кузов_универсал,Кузов_хэтчбек 3 дв.,Кузов_хэтчбек 5 дв.,Топливо_бензин,Топливо_дизель
21440,18482,2016,0,232000,0,1.5,12000,0,0,0,0,1,0,0,0,0,0,1
21066,14442,2001,0,340000,2,4.4,6000,0,0,0,0,0,1,0,0,0,1,0
16519,37773,2022,1,22170,2,2.0,45000,0,0,0,0,0,1,0,0,0,1,0
38052,19292,2008,0,266000,2,3.0,14500,1,0,0,0,0,0,0,0,0,1,0
15881,5597,1997,0,386454,2,2.0,3343,0,0,0,0,0,1,0,0,0,1,0
36998,18907,2009,0,321297,2,3.0,16300,1,0,0,0,0,0,0,0,0,1,0
17225,20672,2016,1,269000,0,2.0,18150,0,0,0,0,0,0,1,0,0,0,1
17681,22403,2021,0,98000,1,1.5,23450,0,0,0,0,0,0,0,0,1,1,0
15881,12952,2007,0,270100,2,2.0,10500,0,0,0,0,0,0,1,0,0,0,1
23341,23246,2021,1,177000,1,1.5,21250,1,0,0,0,0,0,0,0,0,0,1
37344,66846,2021,0,90781,2,3.0,56000,1,0,0,0,0,0,0,0,0,0,1
23377,23593,2020,1,167000,0,1.5,17700,1,0,0,0,0,0,0,0,0,0,1
23341,23513,2020,1,197889,0,1.5,17500,1,0,0,0,0,0,0,0,0,0,1
15881,36993,2020,0,86000,2,2.0,26999,0,0,0,0,0,1,0,0,0,1,0
17322,38737,2021,1,105000,2,2.0,52700,0,0,0,0,0,1,0,0,0,0,1
35736,41902,2021,1,53000,2,2.0,47900,1,0,0,0,0,0,0,0,0,1,0
35692,41218,2019,0,65000,2,2.0,31200,1,0,0,0,0,0,0,0,0,1,0
15881,20325,2016,1,201720,2,2.0,17150,0,0,0,0,0,0,1,0,0,0,1
17403,6918,1998,0,500000,0,2.5,5600,0,0,0,0,0,1,0,0,0,0,1
17161,13136,2006,0,420000,2,2.0,10550,0,0,0,0,0,1,0,0,0,0,1
76605,76559,2023,1,15000,2,3.0,144000,1,0,0,0,0,0,0,0,0,0,1
17161,19966,2013,0,204000,2,2.0,15900,0,0,0,0,0,1,0,0,0,1,0
22010,19522,2020,1,193000,2,1.5,16400,0,0,0,0,1,0,0,0,0,0,1
35530,41456,2021,1,48000,2,2.0,39000,1,0,0,0,0,0,0,0,0,1,0
17574,12921,2005,0,296842,2,2.5,10800,0,0,0,0,0,0,1,0,0,0,1
16968,38737,2019,0,110000,2,2.0,33000,0,0,0,0,0,0,1,0,0,0,1
22010,19284,2018,1,185970,2,1.5,13500,0,0,0,0,1,0,0,0,0,0,1
17161,25512,2015,0,247300,2,2.0,19500,0,0,0,1,0,0,0,0,0,1,0
38052,19292,2007,0,333000,2,3.0,13050,1,0,0,0,0,0,0,0,0,1,0
17256,23478,2020,0,101000,1,1.5,19200,0,0,0,0,0,0,0,0,1,0,1
38052,19237,2008,0,235000,2,3.0,18000,1,0,0,0,0,0,0,0,0,0,1
47838,47962,2021,1,74100,2,3.0,70900,1,0,0,0,0,0,0,0,0,0,1
37697,67133,2022,0,32490,2,3.0,78990,1,0,0,0,0,0,0,0,0,1,0
16748,6023,1992,0,390254,0,1.8,2000,0,0,0,0,0,1,0,0,0,1,0
17161,20304,2017,1,90000,2,2.0,27000,0,0,0,0,0,1,0,0,0,1,0
21201,26646,2021,0,79000,1,1.5,29950,0,0,0,0,0,1,0,0,0,1,0
16968,20391,2010,0,340000,2,2.0,14990,0,0,0,0,0,1,0,0,0,0,1
48231,49000,2023,1,4800,2,3.0,93000,0,0,0,0,0,1,0,0,0,1,0
21278,26431,2020,0,114000,1,1.5,24300,0,0,0,0,0,1,0,0,0,0,1
20269,14222,2003,0,350000,2,3.0,10500,0,0,0,0,0,1,0,0,0,0,1
16519,13136,2008,0,375000,0,2.0,11500,0,0,0,0,0,1,0,0,0,0,1
16519,36929,2020,0,170784,0,2.0,25300,0,0,0,0,0,0,1,0,0,0,1
16519,37773,2019,0,52000,2,2.0,29500,0,0,0,0,0,1,0,0,0,1,0
50392,49000,2020,0,38500,2,3.0,72000,0,0,1,0,0,0,0,0,0,1,0
39819,26755,2015,0,131000,2,2.0,21500,0,0,1,0,0,0,0,0,0,1,0
38076,19292,2009,0,351000,2,3.0,17250,1,0,0,0,0,0,0,0,0,0,1
16552,37570,2020,0,96560,2,2.0,23700,0,0,0,0,0,1,0,0,0,1,0
