Модель,Год,Пробег,Цена,Описание
"BMW 5 серия G30, G31",2019,71000,33000,"автомат, 2,0 л, бензин, седан"
"BMW 3 серия E46 · Рестайлинг",2002,450000,5400,"механика, 2,0 л, дизель, седан"
"BMW 3 серия E46 · Рестайлинг",2003,233500,9000,"автомат, 2,5 л, бензин, купе"
"BMW X7 I, 7 мест",2021,80000,89500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31",2019,190000,26950,"автомат, 2,0 л, дизель, универсал"
"BMW 5 серия E34",1990,300000,2150,"механика, 2,0 л, бензин, седан"
"BMW 7 серия E38 · Рестайлинг",2001,261000,6000,"автомат, 3,5 л, бензин, седан"
"BMW 5 серия E60, E61 · Рестайлинг",2007,499000,12700,"механика, 3,0 л, дизель, седан"
"BMW 5 серия E39 · Рестайлинг",2000,530000,7699,"автомат, 2,9 л, дизель, седан"
"BMW 5 серия E39",1998,445000,4590,"механика, 2,5 л, бензин, седан"
"BMW X3 G01 · Рестайлинг",2021,55000,47400,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2001,550000,7000,"механика, 2,9 л, дизель, универсал"
"BMW 5 серия E39 · Рестайлинг",2001,470000,5300,"автомат, 2,5 л, дизель, универсал"
"BMW 7 серия E65, E66 · Рестайлинг",2006,231500,9999,"автомат, 4,8 л, бензин, седан"
"BMW X3 G01",2018,155000,31999,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39",1996,300000,4200,"механика, 2,9 л, дизель, седан"
"BMW 7 серия E65, E66 · Рестайлинг",2006,250000,9900,"автомат, 4,8 л, бензин, седан"
"BMW X6 E71 · Рестайлинг",2013,246000,26000,"автомат, 2,9 л, дизель, внедорожник 5 дв."
"BMW X5 E70",2008,420000,18000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 7 серия E38 · Рестайлинг",2001,536000,6200,"автомат, 2,9 л, дизель, седан"
"BMW X3 G01",2020,77395,35900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X2 F39",2020,144500,20500,"механика, 1,5 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39",1999,342260,7000,"механика, 2,5 л, бензин, седан"
"BMW i3 I01 · Рестайлинг",2018,24000,21500,"автомат, 0,7 л, бензин (гибрид), хэтчбек 5 дв."
"BMW 1 серия F40",2020,177000,22950,"робот, 1,5 л, бензин, хэтчбек 5 дв."
"BMW 4 серия  G22, G23, G26",2021,72000,59999,"автомат, 3,0 л, бензин, купе"
"BMW 3 серия F30, F31",2012,217000,17100,"автомат, 2,0 л, дизель, седан"
"BMW 5 серия G30, G31",2017,144000,31000,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия F10, F11 · Рестайлинг",2013,329123,20500,"автомат, 3,0 л, дизель, универсал"
"BMW 5 серия E39 · Рестайлинг",2003,450000,5800,"автомат, 2,5 л, бензин, седан"
"BMW 5 серия E39 · Рестайлинг",2003,450000,5800,"автомат, 2,5 л, бензин, седан"
"BMW 5 серия E34",1995,500000,3500,"механика, 2,5 л, дизель, седан"
